ProbeSet_ID,Gene_Symbol,Gene_Description,NCBI_ID,FC,P.Value,adj.P.Val,mean_naive,mean_6d,
10558134,Plekha1,pleckstrin homology domain containing family A (phosphoinositide binding specific) member 1,101476,4.864,2.45863843041934e-09,1.95140722811818e-07,333,68,
10503695,Bach2,BTB and CNC homology 2,12014,4.75,7.13003127994423e-10,7.05137458566548e-08,694,146,
10461594,Ms4a4c,membrane-spanning 4-domains subfamily A member 4C,64380,4.743,4.2533381708721e-10,4.58881791750971e-08,1461,308,
10494271,Ctss,cathepsin S,13040,4.731,1.42535797093746e-09,1.21046807332745e-07,1475,312,
10556244,Snora23,importin 7,233726,4.699,2.98880512965295e-07,1.05805399774447e-05,883,188,
10434778,Rtp4,receptor transporter protein 4,67775,4.686,1.74206441202441e-06,4.51306957135887e-05,741,158,
10538408,2410066E13Rik,RIKEN cDNA 2410066E13 gene,68235,4.678,1.99002701759172e-10,2.39591561992371e-08,443,95,
10530145,Tlr1,toll-like receptor 1,21897,4.599,1.01823537645397e-09,9.34915307210772e-08,418,91,
10412345,Parp8,poly (ADP-ribose) polymerase family member 8,52552,4.596,2.51756147380389e-09,1.98552743829559e-07,631,137,
10415640,Snora65,small nucleolar RNA H/ACA box 65,104367,4.513,3.81223865516507e-09,2.81924663988201e-07,615,136,
10472022,Lypd6b,LY6/PLAUR domain containing 6B,71897,4.472,2.24249816930573e-08,1.24748971820173e-06,127,28,
10574246,Gpr114,G protein-coupled receptor 114,382045,4.371,4.17739266098533e-09,3.00893005482879e-07,711,163,
10585099,Usp28,ubiquitin specific peptidase 28,235323,4.339,6.43242255216275e-09,4.31664997393682e-07,692,159,
10599348,Gria3,glutamate receptor ionotropic AMPA3 (alpha 3),53623,4.268,3.16580502915952e-10,3.63254487073036e-08,83,20,
10399470,Trib2,tribbles homolog 2 (Drosophila),217410,4.237,6.96999033358972e-10,6.92056171688139e-08,693,164,
10508723,Snora61,small nucleolar RNA H/ACA box 61,100217440,4.224,1.13143596714462e-08,6.81102588724111e-07,1432,339,
10430179,Apol7b,apolipoprotein L 7b,278679,4.186,1.14947654570308e-08,6.90295288482224e-07,1301,311,
10406852,Cnn3,calponin 3 acidic,71994,4.182,2.37156757354203e-08,1.31342682372921e-06,90,22,
10576692,Insr,insulin receptor,16337,4.173,3.51923177951854e-08,1.79306888436053e-06,318,76,
10495147,Dennd2d,DENN/MADD domain containing 2D,72121,4.164,1.06928689176287e-08,6.54797986753772e-07,1082,260,
10395692,Arhgap5,Rho GTPase activating protein 5,11855,4.09,1.02422645137543e-09,9.35009949493719e-08,111,27,
10439239,Dirc2,disrupted in renal carcinoma 2 (human),224132,4.063,1.41062864230042e-09,1.2039618843634e-07,678,167,
10427015,Acvr1b,activin A receptor type 1B,11479,4.046,9.72202088962805e-09,6.04219961624215e-07,349,86,
10547073,Snora7a,small nucleolar RNA H/ACA box 7A,100217451,4.04,6.23984765188073e-10,6.34732584408864e-08,625,155,
10425040,Apol7e,apolipoprotein L 7e,666348,4.035,1.7548593776002e-08,1.01237512519797e-06,1302,323,
10543785,AB041803,cDNA sequence AB041803,232685,3.953,4.2409597927615e-08,2.088798418087e-06,736,186,
10385507,Gm12185,predicted gene OTTMUSG00000005523,620913,3.95,3.75648409056406e-08,1.89512341103315e-06,214,54,
10503723,Mdn1,midasin homolog (yeast),100019,3.948,1.90430680060568e-09,1.56115572647022e-07,839,212,
10445877,Gm16489,predicted gene 16489,628926,3.918,8.08476464169313e-08,3.53488604211011e-06,277,71,
10555235,Arrb1,arrestin beta 1,109689,3.905,7.00903833281525e-09,4.67056827086689e-07,296,76,
10446907,Ttc27,tetratricopeptide repeat domain 27,74196,3.879,1.48422977768434e-07,5.78872840679956e-06,344,89,
10552622,2410002F23Rik,RIKEN cDNA 2410002F23 gene,66976,3.858,6.44327818916819e-09,4.31664997393682e-07,584,151,
10415015,Gm13949,predicted gene 13949,386450,3.845,1.39915155101932e-08,8.2046246951773e-07,541,141,
10519607,4930420K17Rik,RIKEN cDNA 4930420K17 gene,652925,3.825,1.27318921752714e-08,7.57790494219777e-07,956,250,
10392221,Pecam1,platelet/endothelial cell adhesion molecule 1,18613,3.82,5.77956981832833e-09,3.91408801664072e-07,760,199,
10461156,Snhg1,small nucleolar RNA host gene (non-protein coding) 1,83673,3.804,2.91074189804789e-08,1.53364713706447e-06,997,262,
10362861,Scml4,sex comb on midleg-like 4 (Drosophila),268297,3.8,5.03022291095406e-09,3.47266524617167e-07,1233,324,
10393559,Timp2,tissue inhibitor of metalloproteinase 2,21858,3.779,3.83722642598741e-09,2.82933008841592e-07,406,107,
10373740,Pik3ip1,phosphoinositide-3-kinase interacting protein 1,216505,3.738,1.02037141305405e-09,9.34915307210772e-08,811,217,
10354753,Boll,bol boule-like (Drosophila),75388,3.704,5.18494930295476e-08,2.4613201243474e-06,83,22,
10498599,Ift80,intraflagellar transport 80 homolog (Chlamydomonas),68259,3.693,1.78716052552251e-08,1.02625840131502e-06,526,142,
10512949,Abca1,ATP-binding cassette sub-family A (ABC1) member 1,11303,3.685,1.12150180125925e-08,6.79872735537514e-07,155,42,
10471486,Eng,endoglin,13805,3.654,4.16073090790916e-09,3.00893005482879e-07,291,80,
10357043,Bcl2,B-cell leukemia/lymphoma 2,12043,3.636,2.03292253399262e-07,7.55059543847452e-06,685,188,
10495659,Cnn3,calponin 3 acidic,71994,3.633,3.89848575039835e-07,1.31291151811224e-05,223,61,
10576696,Insr,insulin receptor,16337,3.631,2.57323275720834e-08,1.40328461214762e-06,240,66,
10398693,Snora28,eukaryotic translation initiation factor 5,217869,3.627,1.60094980376944e-07,6.16674976963556e-06,394,109,
10414522,Apex1,apurinic/apyrimidinic endonuclease 1,11792,3.621,5.63295091952129e-09,3.85970622768526e-07,915,253,
10366796,Mettl1,methyltransferase like 1,17299,3.616,2.14390851901727e-08,1.20338937186821e-06,338,93,
10424400,Myc,myelocytomatosis oncogene,17869,3.608,3.06688340968454e-09,2.34456651337908e-07,760,211,
10435789,Zbtb20,zinc finger and BTB domain containing 20,56490,3.606,1.77681223182918e-08,1.02267238895258e-06,218,60,
10495530,Dph5,DPH5 homolog (S. cerevisiae),69740,3.604,4.87188832014547e-09,3.37671412538591e-07,844,234,
10471550,Rpl12,ribosomal protein L12,269261,3.578,4.77578007412247e-09,3.34331435413708e-07,532,149,
10557326,Il4ra,interleukin 4 receptor alpha,16190,3.573,4.68630144418341e-09,3.28991562230814e-07,1184,331,
10351867,Aim2,absent in melanoma 2,383619,3.569,9.68870314515838e-08,4.12050955262179e-06,299,84,
10561712,Spint2,serine protease inhibitor Kunitz type 2,20733,3.566,8.99792143919806e-09,5.63432658562045e-07,770,216,
10554118,Fam169b,family with sequence similarity 169 member B,434197,3.565,8.74613237662919e-09,5.53226170280083e-07,849,238,
10597258,Tmie,transmembrane inner ear,20776,3.561,1.7390506036046e-08,1.00558281074324e-06,205,58,
10406111,Slc12a7,solute carrier family 12 member 7,20499,3.525,5.20985586612279e-09,3.58674110208597e-07,1081,307,
10439532,Qtrtd1,queuine tRNA-ribosyltransferase domain containing 1,106248,3.517,1.67686366892271e-07,6.42935328567567e-06,259,74,
10353844,Neurl3,neuralized homolog 3 homolog (Drosophila),214854,3.51,1.16976716066733e-07,4.78701759903962e-06,619,176,
10563114,Snord32a,small nucleolar RNA C/D box 32A,27209,3.502,1.2290446635187e-07,4.97244336107354e-06,5323,1520,
10430113,Arhgap39,DNA segment Chr 15 Wayne State University 169 expressed,223666,3.491,1.48090646800399e-07,5.78481990526573e-06,288,83,
10558919,Snora52,small nucleolar RNA H/ACA box 52,100217419,3.485,1.24985179953897e-06,3.41443749820243e-05,2888,829,
10443201,Pacsin1,protein kinase C and casein kinase substrate in neurons 1,23969,3.475,7.35951678098039e-09,4.85221897395749e-07,242,70,
10419674,Snord8,small nucleolar RNA C/D box 8,100217445,3.451,2.70975838095598e-07,9.70295953594612e-06,660,191,
10531980,Gbp9,cDNA sequence BC057170,236573,3.451,1.81000590543357e-07,6.855466136051e-06,758,220,
10468311,Sh3pxd2a,SH3 and PX domains 2A,14218,3.438,2.86757665472715e-08,1.52054777423639e-06,216,63,
10500434,Bcl9,B-cell CLL/lymphoma 9,77578,3.437,1.64779101934939e-07,6.3276190730702e-06,204,59,
10417004,Dzip1,DAZ interacting protein 1,66573,3.436,1.31851515981229e-07,5.26603122000669e-06,267,78,
10408666,Rpp40,ribonuclease P 40 subunit (human),208366,3.427,9.139488780512e-09,5.70863005984762e-07,74,21,
10451004,Cd2ap,CD2-associated protein,12488,3.424,2.50571415356299e-08,1.37247050846367e-06,736,215,
10494873,Ampd1,adenosine monophosphate deaminase 1 (isoform M),229665,3.417,1.29530546435169e-07,5.1983257298829e-06,156,46,
10432675,I730030J21Rik,RIKEN cDNA I730030J21 gene,619313,3.402,1.32067295776256e-06,3.56596007078642e-05,774,227,
10548333,Cd69,CD69 antigen,12515,3.397,1.48913912498471e-06,3.95367204578943e-05,515,152,
10556206,Snora3,small nucleolar RNA H/ACA box 3,100302499,3.366,2.02332591661841e-08,1.14084453606253e-06,749,223,
10351035,Gas5,growth arrest specific 5,14455,3.365,1.71065965535183e-07,6.5188165031618e-06,413,123,
10496756,Mcoln3,mucolipin 3,171166,3.357,8.26302963047178e-09,5.26853809770613e-07,132,39,
10565994,Art2b,ADP-ribosyltransferase 2b,11872,3.342,1.08767521111716e-08,6.61147356377118e-07,3343,1000,
10511416,Tox,thymocyte selection-associated high mobility group box,252838,3.326,7.85107924542791e-09,5.10873621291265e-07,325,98,
10570432,Snora3,small nucleolar RNA H/ACA box 3,100302499,3.317,2.75053844063714e-08,1.47100684587036e-06,737,222,
10461152,Snhg1,small nucleolar RNA host gene (non-protein coding) 1,83673,3.313,3.79535682639316e-08,1.91086631974486e-06,447,135,
10524310,Ttc28,tetratricopeptide repeat domain 28,209683,3.308,2.04350425140485e-08,1.14962105989869e-06,175,53,
10522465,Snora26,RIKEN cDNA 2700023E23 gene,70036,3.306,1.22271080799007e-07,4.97102752964576e-06,459,139,
10571214,Rnf122,ring finger protein 122,68867,3.297,1.07839419779222e-07,4.47929003289629e-06,243,74,
10354111,Aff3,AF4/FMR2 family member 3,16764,3.27,4.09005759906167e-08,2.03052620485687e-06,727,222,
10583242,Sesn3,sestrin 3,75747,3.261,4.87768672313188e-09,3.37671412538591e-07,1295,397,
10367532,5830405N20Rik,RIKEN cDNA 5830405N20 gene,67596,3.257,3.00292952568218e-08,1.57555809766424e-06,876,269,
10490826,Zbtb10,zinc finger and BTB domain containing 10,229055,3.254,5.32828304368238e-07,1.70245474377759e-05,86,27,
10587534,Bckdhb,branched chain ketoacid dehydrogenase E1 beta polypeptide,12040,3.247,3.82949428612133e-08,1.92231641615739e-06,195,60,
10398717,Trmt61a,tRNA methyltransferase 61 homolog A (S. cerevisiae),328162,3.246,1.53260380661671e-07,5.93098634604064e-06,302,93,
10402020,Eml5,echinoderm microtubule associated protein like 5,319670,3.245,4.63629765910923e-08,2.24797296226304e-06,348,107,
10494043,Tdrkh,tudor and KH domain containing protein,72634,3.235,1.60712674878544e-08,9.33632000774609e-07,86,27,
10348537,Ramp1,receptor (calcitonin) activity modifying protein 1,51801,3.226,3.5254143059813e-08,1.79306888436053e-06,185,57,
10509163,Id3,inhibitor of DNA binding 3,15903,3.224,4.35663746739413e-09,3.12000341845967e-07,208,65,
10401937,BC005685,cDNA sequence BC005685,352945,3.222,1.7606903050404e-07,6.67883162590818e-06,189,59,
10401935,BC005685,cDNA sequence BC005685,352945,3.21,9.25626133873178e-08,3.9568532604438e-06,219,68,
10462702,Hectd2,HECT domain containing 2,226098,3.196,2.53888803069884e-08,1.38759139256747e-06,149,47,
10365428,Btbd11,BTB (POZ) domain containing 11,74007,3.194,1.86833966204354e-07,7.05496379658319e-06,441,138,
10454807,Snora74a,small nucleolar RNA H/ACA box 74A,436583,3.188,9.69341096678114e-07,2.78638048574532e-05,542,170,
10366043,Dusp6,dual specificity phosphatase 6,67603,3.181,2.62864887494563e-08,1.42106696879382e-06,371,117,
10598467,Pim2,proviral integration site 2,18715,3.181,9.8680408983831e-08,4.18250536172625e-06,912,287,
10530503,Cnga1,cyclic nucleotide gated channel alpha 1,12788,3.173,9.82523539117523e-09,6.07604259103894e-07,82,26,
10371356,Appl2,adaptor protein phosphotyrosine interaction PH domain and leucine zipper containing 2,216190,3.163,3.58469354271075e-07,1.22380455440325e-05,359,114,
10401473,Aldh6a1,aldehyde dehydrogenase family 6 subfamily A1,104776,3.157,6.8570957490168e-08,3.07360683915462e-06,198,63,
10440491,App,amyloid beta (A4) precursor protein,11820,3.156,3.15502417942079e-08,1.62457670660176e-06,188,60,
10428857,Mtss1,metastasis suppressor 1,211401,3.145,1.34358994594478e-08,7.9536695089871e-07,266,85,
10538901,BC005685,cDNA sequence BC005685,352945,3.141,8.49222465370979e-08,3.67436150728742e-06,246,78,
10501048,Dennd2d,RIKEN cDNA 2010016I18 gene,69206,3.124,1.29298821305235e-06,3.49878960322375e-05,869,278,
10538892,LOC641050,hypothetical protein LOC641050,641050,3.108,3.20332053560735e-07,1.11498818978221e-05,198,64,
10454851,Cxxc5,CXXC finger 5,67393,3.09,2.59697391789263e-08,1.41006065319652e-06,384,124,
10592138,Rpl36,ribosomal protein L36,54217,3.087,5.53629531863177e-08,2.60331230058379e-06,2397,777,
10394609,Rpl36,ribosomal protein L36,54217,3.086,4.30784704028203e-08,2.11755747412049e-06,2725,883,
10496091,Lef1,lymphoid enhancer binding factor 1,16842,3.076,2.59100019845327e-08,1.40988879794438e-06,3354,1091,
10546801,Rpl36,ribosomal protein L36,54217,3.069,5.10179263082673e-08,2.43576390700122e-06,3646,1188,
10525439,P2rx4,purinergic receptor P2X ligand-gated ion channel 4,18438,3.066,8.80577956559181e-09,5.55588957806782e-07,179,58,
10506254,Raver2,ribonucleoprotein PTB-binding 2,242570,3.058,1.12697516498859e-08,6.80059928858248e-07,247,81,
10422598,Sepp1,selenoprotein P plasma 1,20363,3.053,4.19258334306647e-08,2.06906063516639e-06,222,73,
10500610,Fam46c,family with sequence similarity 46 member C,74645,3.038,3.12722363349013e-08,1.61359559821617e-06,281,92,
10433902,Gm12191,ribosomal protein L30,19946,3.035,3.03119621101382e-08,1.58315298515356e-06,6304,2077,
10426648,Rpl36,ribosomal protein L36,54217,3.033,8.88983917229552e-08,3.83308947840742e-06,2549,840,
10351026,Gas5,growth arrest specific 5,14455,3.03,5.91110156202667e-08,2.74332352195212e-06,3403,1123,
10468309,Sh3pxd2a,RIKEN cDNA 2310014D11 gene,69633,3.021,1.32747761487205e-07,5.28488771850497e-06,131,43,
10509560,Rpl38,ribosomal protein L38,67671,3.018,2.21757431459674e-08,1.23638449817405e-06,4732,1568,
10407392,BC016423,cDNA sequence BC016423,105203,3.011,4.16095365730648e-07,1.3826571606319e-05,953,317,
10471358,Rpl36,ribosomal protein L36,54217,2.987,7.16071441631661e-08,3.1780565993467e-06,2781,931,
10575598,Znrf1,zinc and ring finger 1,170737,2.972,2.82481808855724e-08,1.50106858002183e-06,819,276,
10554094,Igf1r,insulin-like growth factor I receptor,16001,2.969,3.01220997730173e-08,1.57710708097298e-06,116,39,
10437080,Ttc3,tetratricopeptide repeat domain 3,22129,2.967,2.47280152819863e-08,1.35742642479662e-06,782,264,
10446131,Rpl36,ribosomal protein L36,54217,2.963,6.78676310290696e-08,3.05306335831493e-06,2849,962,
10510391,Srm,spermidine synthase,20810,2.963,5.77597587593498e-07,1.83141056972076e-05,710,240,
10596303,Acpp,acid phosphatase prostate,56318,2.961,7.45733621468946e-08,3.29524349543423e-06,137,46,
10595452,Ube2cbp,ubiquitin-conjugating enzyme E2C binding protein,70348,2.944,3.69163766272782e-08,1.86618648743413e-06,250,85,
10548976,Rpl38,ribosomal protein L38,67671,2.938,2.67470010014763e-08,1.43971654202763e-06,4686,1595,
10474541,Nop10,NOP10 ribonucleoprotein homolog (yeast),66181,2.937,2.59742687046819e-07,9.38988206573875e-06,559,190,
10525365,Hvcn1,hydrogen voltage-gated channel 1,74096,2.93,5.12449888004336e-08,2.44192659824934e-06,740,253,
10428074,Rpl30,ribosomal protein L30,19946,2.926,1.32362293783546e-07,5.27797293707767e-06,719,246,
10379633,Slfn1,schlafen 1,20555,2.924,9.51292301412089e-07,2.75766738490538e-05,1575,539,
10516518,Tlr12,toll-like receptor 12,384059,2.914,3.57371063674771e-08,1.81024423758184e-06,194,66,
10378783,Rpl36,ribosomal protein L36,54217,2.913,7.0381192766439e-08,3.13221443950927e-06,3545,1217,
10434441,Ece2,endothelin converting enzyme 2,107522,2.905,1.85576918229345e-06,4.73382595303146e-05,194,67,
10554658,A530021J07Rik,Riken cDNA A530021J07 gene,330578,2.893,1.54954528989052e-07,5.97798261836712e-06,49,17,
10357604,Ikbke,inhibitor of kappaB kinase epsilon,56489,2.89,2.43993499870847e-08,1.34234128118791e-06,1218,421,
10539592,Smyd5,SET and MYND domain containing 5,232187,2.888,5.68178191941168e-07,1.80613991065788e-05,275,95,
10512487,Rmrp,RNA component of mitochondrial RNAase P,19782,2.885,3.42442479900636e-07,1.17715192883912e-05,6622,2295,
10504757,BC005685,cDNA sequence BC005685,352945,2.883,4.84425273500004e-07,1.57174964564973e-05,223,77,
10376163,Rapgef6,Rap guanine nucleotide exchange factor (GEF) 6,192786,2.883,2.77197327818475e-08,1.47634163308745e-06,1983,688,
10544812,Rpl38,ribosomal protein L38,67671,2.883,3.07542050235984e-08,1.60011753152008e-06,4611,1600,
10446986,Crim1,cysteine rich transmembrane BMP regulator 1 (chordin like),50766,2.878,8.9761233758349e-08,3.86360875254849e-06,655,228,
10384100,Gm11968,ribosomal protein S15A,267019,2.872,5.33552979930914e-08,2.52318925347974e-06,2902,1010,
10445531,Zfp318,zinc finger protein 318,57908,2.864,6.54821423626703e-08,2.97671654843563e-06,430,150,
10344750,Sgk3,serum/glucocorticoid regulated kinase 3,170755,2.859,6.22342370709875e-08,2.85635664140543e-06,397,139,
10454077,Taf4b,TAF4B RNA polymerase II TATA box binding protein (TBP)-associated factor,72504,2.858,6.02780412173374e-08,2.79228502456967e-06,363,127,
10435982,Btla,B and T lymphocyte associated,208154,2.853,9.96300081257e-08,4.21558414687385e-06,652,229,
10398267,Evl,Ena-vasodilator stimulated phosphoprotein,14026,2.853,6.76156888011411e-08,3.04723001139609e-06,2386,836,
10583669,AB124611,cDNA sequence AB124611,382062,2.852,1.72491490758968e-08,9.9972858899884e-07,813,285,
10374485,Peli1,pellino 1,67245,2.85,6.10628816346309e-08,2.81295588927592e-06,2931,1029,
10485624,Prrg4,proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane),228413,2.841,8.2904153528324e-07,2.45676256151354e-05,120,42,
10393449,Socs3,suppressor of cytokine signaling 3,12702,2.812,5.85360575816695e-07,1.84896784163545e-05,379,135,
10362811,Sesn1,sestrin 1,140742,2.812,1.40120162347033e-07,5.52543462976704e-06,697,248,
10532025,Rps15a,ribosomal protein S15A,267019,2.81,6.05812318754942e-08,2.79593603852049e-06,3275,1166,
10537349,Gm12191,ribosomal protein L30,19946,2.805,6.5573284049882e-08,2.97671654843563e-06,7146,2547,
10376596,4933439F18Rik,RIKEN cDNA 4933439F18 gene,66771,2.8,4.53836066717505e-07,1.4882240072018e-05,415,148,
10475965,Polr1b,polymerase (RNA) I polypeptide B,20017,2.793,1.49183128686453e-07,5.8092842705059e-06,556,199,
10428579,Ext1,exostoses (multiple) 1,14042,2.79,6.80138503447621e-08,3.05412824917506e-06,280,100,
10606255,Gm12191,ribosomal protein L30,19946,2.789,6.41503529253792e-08,2.92276982743382e-06,7309,2621,
10381006,Thra,thyroid hormone receptor alpha,21833,2.787,3.58445357066865e-07,1.22380455440325e-05,178,64,
10567216,Rps15a,ribosomal protein S15A,267019,2.782,1.2606046586992e-07,5.07541022683384e-06,1114,400,
10383010,Socs3,suppressor of cytokine signaling 3,12702,2.781,2.19384192923509e-06,5.51714718066568e-05,243,87,
10606538,Gm12191,ribosomal protein L30,19946,2.777,5.7829166856446e-08,2.69386634840439e-06,8071,2906,
10359201,Ralgps2,Ral GEF with PH domain and SH3 binding motif 2,78255,2.776,1.03006312731238e-07,4.32175644088876e-06,256,92,
10369688,Tet1,tet oncogene 1,52463,2.767,1.2763460932314e-07,5.13049957024404e-06,154,56,
10443193,Gm12191,ribosomal protein L30,19946,2.758,1.10415082983978e-07,4.57103770452938e-06,7702,2792,
10469110,Usp6nl,USP6 N-terminal like,98910,2.757,5.13326853621061e-07,1.65714143082177e-05,211,77,
10414781,Gm13926,predicted gene 13926,436545,2.749,6.4977086477584e-07,2.01915080946926e-05,182,66,
10382106,Gm885,predicted gene 885,380732,2.747,3.59830574551883e-07,1.22509529767514e-05,290,106,
